"gamma","lambda_0","theta"
17.3705924837355,14.4025251837293,1.27799647019194
15.9296757759271,15.1326697312028,1.32419819199183
18.8263938069237,15.8968863037026,1.62063105905135
17.4972699059935,13.9522289285131,1.15249178009851
17.1980661368114,15.060166063805,1.32615298357818
17.298508957028,14.5402907412203,1.2569708509251
15.7699853659088,14.5329209534094,1.17574142866754
17.7488740619719,13.9670589807552,1.22511474481269
17.5757707759371,14.1461056086279,1.25779415589319
17.0114436331228,15.2185816503904,1.32155679304671
17.0194745122625,14.744234526137,1.34983453403054
17.4556302932815,13.7478809348401,1.12193247324478
16.8625474779442,14.6997378217645,1.25869066684685
16.5187334506926,14.4929877720501,1.16673814593298
16.5428501006517,15.0870582924255,1.34879140659136
16.9654521604381,14.5222241591948,1.24732192194397
18.7917905747446,15.5372872075515,1.55151826963451
16.5481640605776,14.592783595104,1.22785584227358
17.1097633285776,14.563308429677,1.26294427071143
16.7509129847413,14.4392871599289,1.20018925370683
16.9370142248645,14.0219631352211,1.12054450102657
16.1188867074924,14.4209484114498,1.15759140013342
16.703081757648,14.8644156970303,1.29224451734952
16.2388279360648,14.7173677204143,1.17828933963093
15.5407924174673,15.0883560709359,1.20504204718826
18.2358469458796,15.5332809301877,1.53545191194589
17.0156608704275,14.5443232162264,1.23659127498833
16.2785765622038,14.5768651864517,1.21531966362038
16.4047833637976,14.3915982216876,1.18244772357443
18.2588831355943,15.0714726194681,1.4011391066103
15.4957493940173,15.3142840955152,1.24348248127295
17.6376893683394,14.3093451455616,1.2450857620283
17.595654391501,14.2272565067711,1.23534537300485
17.1354268696721,13.8489020877524,1.1229391666692
19.3123734107382,14.4230871648667,1.38052327637405
17.5885099685681,14.5217150703597,1.26157769000827
15.7601880816667,15.3392462282778,1.36723049035086
17.3715225136451,14.8992096803508,1.32856428317067
18.0525047850363,14.7254364084984,1.40372869862718
17.3030195711608,15.4384666318732,1.42599909796417
17.4061327701325,14.9004525574908,1.37118644157386
16.2991938166622,14.9562081217128,1.30296150209662
17.7375347686956,14.0557248379248,1.25657174831332
18.9336777040903,14.5134865028025,1.32836605413807
17.1800833334085,14.8159495792797,1.3239008661578
17.1471544673626,14.3979752036458,1.20514759919704
17.8789775296672,14.4211369196976,1.30653405374216
15.9764164675284,15.3660885622562,1.25899884767857
18.0856544682814,13.737466178057,1.26238177566337
16.4867297991335,14.4229138720008,1.29250928932149
17.6249324094521,14.3403225858778,1.2884658443408
17.0122756155565,14.5331688158598,1.23176375467655
16.3976360127461,14.6807437688499,1.30053622158856
18.7309609362864,14.3788922478304,1.40786192393438
18.3166309522998,14.1410128622656,1.26896399984439
17.3496620137679,14.8557897553862,1.32765803009842
17.5910346424139,14.3869110374974,1.23622752432915
16.2295092255349,14.6711422459364,1.2290614922775
16.4523957928409,15.0282320253983,1.27716706039507
16.9692061915458,15.2611558349141,1.40179248786135
17.1979638575352,15.0627155452458,1.372176882364
17.9375289429372,13.832125790685,1.26231617204119
16.4484194663554,14.7805900278876,1.26354165997364
16.524986036387,14.8218581551728,1.31441960822787
19.344371090113,14.4694803100618,1.43019339789776
15.9394382395271,15.116900281832,1.25415621416793
17.1018048187141,14.4699301344414,1.20468774526085
16.9064801073274,14.5998393625094,1.24861809248579
15.7613126514937,14.9523747024733,1.23777723372575
16.5731513948922,15.8196585222809,1.50147000684649
16.227641207808,14.6734591160784,1.25149891218988
17.8751754545083,15.2678513664952,1.43024559135431
17.8051120208463,14.8250872851395,1.41945596025361
16.1192552114825,15.2814647665746,1.31316044161112
18.5563987839101,14.2226979084016,1.2787939511196
16.7636307046278,14.6102184762151,1.21554382392452
16.9850586948991,14.0822855989178,1.08593001861556
16.3097606298905,15.2918484752279,1.32927897031832
15.677621706808,15.3375292188653,1.37883289730651
16.3411402133278,14.5797853386095,1.21951915303572
17.1659857969293,14.796256835382,1.30618454626428
17.6996195782274,14.230813442559,1.22200045523559
18.684755049188,14.5951974631969,1.32346588710894
15.6249290355687,15.0014180218781,1.21968763049265
16.7840517936135,14.7364374656848,1.3062430802664
17.9834270898873,14.2550190445998,1.3185022581283
15.8675431917372,15.0251752266773,1.28991096481805
18.0048765285473,14.2318571345072,1.2847172051823
17.5101015705748,14.7597140855827,1.31956447608127
16.4782504509385,14.918988949275,1.33554408656476
17.4004490209919,14.3168193951273,1.1990034181195
16.9672724711768,14.8194610640552,1.3154747714847
18.9978892847359,14.3614502942821,1.41542083646164
17.7070441961405,13.8509303226613,1.24424719256632
16.7177953352151,14.56361740435,1.27305098706668
17.7010325713768,15.2926063545911,1.46949023549858
