"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,24.0229369794801,2.19827914881034,1,2.2125244140625,26.180453878306,10
4,24.1570355224233,2.20575176634733,1,2.20870971679688,26.1051718678193,10
4,24.4644939485908,2.24954117323094,1,2.24685668945312,26.3400904446206,10
4,24.0772262830661,2.19907342892427,1,2.20108032226562,26.0819280613774,10
4,23.765992290816,2.16517077153244,1,2.16293334960938,25.6150486969805,10
4,23.7259859053605,2.18226739030241,1,2.197265625,25.8616393985859,10
4,23.9711004873937,2.19051444402335,1,2.19345092773438,25.9324677301405,10
4,23.8227814827638,2.19357334878337,1,2.20489501953125,25.9400837978275,10
4,23.9164590998627,2.19741970003591,1,2.20108032226562,25.9086493303165,10
4,23.6887028978732,2.16353740746184,1,2.17056274414062,25.6902200098722,10
4,24.0677093373333,2.20317108325522,1,2.20108032226562,25.9917007717144,10
4,23.906923658379,2.19134894861076,1,2.18963623046875,25.8065945681573,10
4,23.7855311358352,2.18686203937994,1,2.1820068359375,25.6376325370759,10
4,24.0434591685549,2.198192297134,1,2.2125244140625,26.1830668837811,10
4,23.6290715485059,2.17080836358589,1,2.17437744140625,25.5985791516071,10
4,24.1426914507529,2.19771493642362,1,2.197265625,26.0365115411505,10
4,24.2947246460094,2.2121679161711,1,2.20489501953125,26.1046741137623,10
4,23.6479674130496,2.17045112369933,1,2.18582153320312,25.8137804083793,10
4,23.7583062671769,2.1723288323653,1,2.17437744140625,25.6828211396748,10
4,23.7758165645183,2.17530825623141,1,2.18582153320312,25.8773139127749,10
4,23.7738023810499,2.18632410285024,1,2.19345092773438,25.8043951430291,10
4,24.0530491951692,2.20705859717708,1,2.20870971679688,26.0093011607713,10
4,23.8354420367048,2.1798825984756,1,2.1820068359375,25.8314141810962,10
4,23.7933809297809,2.18595829238473,1,2.197265625,25.8903255172527,10
4,24.2531725839,2.21872651663835,1,2.20870971679688,26.0182642627217,10
4,24.1019217299736,2.19694853911983,1,2.197265625,26.0558750707039,10
4,24.313128686355,2.20966483292154,1,2.18963623046875,25.892947125172,10
4,23.8262533332684,2.18159198181465,1,2.197265625,26.0272467532808,10
4,23.7813449795084,2.18959411713554,1,2.197265625,25.8412740220853,10
4,24.3818098204893,2.22427708575083,1,2.227783203125,26.3478028409599,10
4,24.2339559296603,2.21429412529021,1,2.2125244140625,26.0746736856475,10
4,23.8491041224228,2.18751648424394,1,2.19345092773438,25.8652921242728,10
4,24.3041460432585,2.21943131919814,1,2.21633911132812,26.1574941624209,10
4,23.8961376550601,2.19498496480683,1,2.20489501953125,26.0010179663384,10
4,23.7682691190166,2.17551781947007,1,2.1820068359375,25.7854308741024,10
4,23.6120266353617,2.15969699697571,1,2.15911865234375,25.5050495463367,10
4,23.7101758523787,2.18303373364118,1,2.20489501953125,26.0131551260676,10
4,23.6270441030557,2.16779707947117,1,2.17437744140625,25.6657113200435,10
4,24.1907256835166,2.21108050510205,1,2.2125244140625,26.1070001383062,10
4,23.6935043766472,2.17140990065698,1,2.17437744140625,25.6767233189947,10
4,23.9958981782767,2.20401707851282,1,2.2125244140625,26.0651460509188,10
4,23.847618042937,2.18203193329991,1,2.19345092773438,25.9643505211039,10
